month,original,adjusted
2000. 12,50.324,48.91
2001. 01,45.763,48.414
2001. 02,46.762,48.735
2001. 03,51.161,48.972
2001. 04,49.778,49.285
2001. 05,51.021,49.731
2001. 06,49.892,49.769
2001. 07,47.876,48.926
2001. 08,48.344,50.118
2001. 09,50.914,50.638
2001. 10,50.765,50.564
2001. 11,52.69,50.796
2001. 12,51.057,49.641
2002. 01,52.121,51.153
2002. 02,46.291,52.04
2002. 03,54.734,53.152
2002. 04,55.021,53.704
2002. 05,55.393,53.175
2002. 06,50.993,52.35
2002. 07,52.846,54.009
2002. 08,52.555,54.556
2002. 09,51.849,54.155
2002. 10,57.739,54.791
2002. 11,57.566,55.423
2002. 12,56.788,56.06
2003. 01,54.349,54.932
2003. 02,51.13,55.013
2003. 03,57.66,55.979
2003. 04,56.354,55.066
2003. 05,55.298,54.681
2003. 06,55.616,56.193
2003. 07,53.559,53.928
2003. 08,53.587,56.55
2003. 09,55.649,58.112
2003. 10,62.511,59.312
2003. 11,60.617,59.18
2003. 12,63.167,60.544
2004. 01,57.095,60.322
2004. 02,60.332,63.049
2004. 03,64.836,61.992
2004. 04,62.898,62.486
2004. 05,63.032,63.215
2004. 06,62.889,61.574
2004. 07,60.567,60.941
2004. 08,59.281,61.733
2004. 09,60.964,63.258
2004. 10,65.921,62.928
2004. 11,66.5,63.881
2004. 12,65.803,63.097
2005. 01,65.342,65.067
2005. 02,56.235,63.434
2005. 03,68.4,65.413
2005. 04,66.006,64.729
2005. 05,66.273,64.451
2005. 06,65.608,65.109
2005. 07,65.342,65.622
2005. 08,63.016,65.667
2005. 09,64.744,66.507
2005. 10,70.261,67.715
2005. 11,73.518,70.583
2005. 12,72.853,68.855
2006. 01,68.998,71.531
2006. 02,66.738,70.413
2006. 03,74.315,71.101
2006. 04,71.125,70.538
2006. 05,72.787,71.783
2006. 06,71.723,71.029
2006. 07,66.34,67.421
2006. 08,69.33,72.262
2006. 09,76.443,73.983
2006. 10,73.651,76.285
2006. 11,78.77,75.625
2006. 12,74.449,72.608
2007. 01,74.981,73.773
2007. 02,66.605,74.311
2007. 03,76.908,73.66
2007. 04,75.645,75.094
2007. 05,76.975,75.825
2007. 06,76.51,75.569
2007. 07,75.379,76.338
2007. 08,75.579,78.731
2007. 09,74.183,78.213
2007. 10,85.483,81.465
2007. 11,84.819,81.528
2007. 12,81.428,80.683
2008. 01,83.954,82.875
2008. 02,73.85,82.403
2008. 03,85.217,82.878
2008. 04,84.087,83.52
2008. 05,84.087,82.774
2008. 06,82.093,82.058
2008. 07,82.027,81.546
2008. 08,77.241,81.628
2008. 09,79.102,80.986
2008. 10,84.154,80.32
2008. 11,73.318,71.644
2008. 12,66.472,63.986
2009. 01,62.749,65.716
2009. 02,66.937,70.529
2009. 03,76.642,73.459
2009. 04,77.906,76.235
2009. 05,77.174,77.086
2009. 06,81.562,80.127
2009. 07,82.824,82.062
2009. 08,78.304,82.73
2009. 09,88.673,86.141
2009. 10,85.151,84.545
2009. 11,86.879,85.061
2009. 12,89.604,86.217
2010. 01,87.049,87.347
2010. 02,79.648,88.998
2010. 03,94.08,90.152
2010. 04,93.617,91.633
2010. 05,92.599,92.571
2010. 06,94.635,92.796
2010. 07,94.542,93.417
2010. 08,89.269,92.941
2010. 09,90.194,93.592
2010. 10,97.317,93.443
2010. 11,97.502,94.245
2010. 12,99.63,95.744
2011. 01,97.41,98.628
2011. 02,85.106,95.572
2011. 03,102.313,98.032
2011. 04,98.797,96.801
2011. 05,99.167,97.73
2011. 06,100.278,98.185
2011. 07,98.057,98.162
2011. 08,93.987,97.907
2011. 09,96.577,98.7
2011. 10,101.48,99.151
2011. 11,101.11,97.869
2011. 12,101.943,96.321
2012. 01,94.357,99.137
2012. 02,98.15,101.407
2012. 03,103.238,98.911
2012. 04,98.797,99.868
2012. 05,102.405,100.974
2012. 06,101.018,98.837
2012. 07,98.057,98.076
2012. 08,92.784,96.605
2012. 09,96.855,97.823
2012. 10,100.648,99.693
2012. 11,104.163,100.882
2012. 12,102.035,100.583
2013. 01,102.868,101.823
2013. 02,90.009,100.207
2013. 03,101.388,98.612
2013. 04,101.295,99.586
2013. 05,102.313,99.395
2013. 06,99.722,99.038
2013. 07,99.907,98.37
2013. 08,96.115,99.963
2013. 09,93.525,98.361
2013. 10,104.81,101.278
2013. 11,103.793,100.533
2013. 12,104.903,101.725
2014. 01,98.52,102.439
2014. 02,93.617,100.748
2014. 03,104.533,101.737
2014. 04,103.885,102.292
2014. 05,100.37,98.978
2014. 06,100.463,101.254
2014. 07,104.07,102.437
2014. 08,93.617,98.664
2014. 09,95.467,98.873
2014. 10,101.85,98.485
2014. 11,100.555,98.824
2014. 12,106.383,101.528
2015. 01,99.6,97.9
2015. 02,88.8,100.1
2015. 03,103.2,98.5
2015. 04,101.4,99.7
2015. 05,97.3,97.6
2015. 06,101.5,99.7
2015. 07,100.4,98.9
2015. 08,94.7,101.5
2015. 09,100,103.4
2015. 10,105.1,101.7
2015. 11,102.8,100.7
2015. 12,105.1,100.3
2016. 01,98.8,98.8
2016. 02,90.6,100.6
2016. 03,105.6,101
2016. 04,99.7,99.8
2016. 05,102.6,102.8
2016. 06,104.7,102.9
2016. 07,102.3,102.3
2016. 08,98,101.3
2016. 09,98.7,102.2
2016. 10,104.5,101
2016. 11,108.9,105.1
2016. 12,111.5,104.6
2017. 01,100.6,106.7
2017. 02,98.7,103.7
2017. 03,110.9,106.2
2017. 04,104.1,104.2
2017. 05,104.8,104.8
2017. 06,105.5,103.5
2017. 07,104.8,104.7
2017. 08,101.2,104.8
2017. 09,109.4,105.8
2017. 10,99.7,106.2
2017. 11,109.3,105.6
2017. 12,107.3,103.9
2018. 01,105.7,104.9
2018. 02,93.1,105.4
2018. 03,108.1,104.2
2018. 04,106.2,106.8
2018. 05,107.1,106.9
2018. 06,107.5,107.1
2018. 07,108.2,108
2018. 08,105.2,108.7
2018. 09,102.1,106.6
2018. 10,112.3,108.3
2018. 11,109.4,105.6
2018. 12 p),108.1,104.8
